curie,Subcategory,successor_id
,"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",
,ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained,
,ID.AM-04: Inventories of services provided by suppliers are maintained,
,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",
nist-csf-1-1-id-am-06--nist-csf-2-gv-rr-02,"ID.AM-06: [Withdrawn: Incorporated into GV.RR-02, GV.SC-02]",GV.RR-02
nist-csf-1-1-id-am-06--nist-csf-2-gv-sc-02,"ID.AM-06: [Withdrawn: Incorporated into GV.RR-02, GV.SC-02]",GV.SC-02
,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,
,"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their life cycles",
,,
,"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",
,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,
,ID.RA-03: Internal and external threats to the organization are identified and recorded,
,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,
,"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",
,"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated",
,"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",
,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established",
,ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use,
,ID.RA-10: Critical suppliers are assessed prior to acquisition,
,,
,ID.IM-01: Improvements are identified from evaluations,
,"ID.IM-02: Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",
,"ID.IM-03: Improvements are identified from execution of operational processes, procedures, and activities",
,"ID.IM-04: Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",
,,
nist-csf-1-1-id-be-01--nist-csf-2-gv-oc-05,ID.BE-01: [Withdrawn: Incorporated into GV.OC-05],GV.OC-05
nist-csf-1-1-id-be-02--nist-csf-2-gv-oc-01,ID.BE-02: [Withdrawn: Incorporated into GV.OC-01],GV.OC-01
nist-csf-1-1-id-be-03--nist-csf-2-gv-oc-01,ID.BE-03: [Withdrawn: Incorporated into GV.OC-01],GV.OC-01
nist-csf-1-1-id-be-04--nist-csf-2-gv-oc-04,"ID.BE-04: [Withdrawn: Incorporated into GV.OC-04, GV.OC-05]",GV.OC-04
nist-csf-1-1-id-be-04--nist-csf-2-gv-oc-05,"ID.BE-04: [Withdrawn: Incorporated into GV.OC-04, GV.OC-05]",GV.OC-05
nist-csf-1-1-id-be-05--nist-csf-2-gv-oc-04,ID.BE-05: [Withdrawn: Incorporated into GV.OC-04],GV.OC-04
,,
nist-csf-1-1-id-gv-01--nist-csf-2-gv-po,"ID.GV-01: [Withdrawn: Incorporated into GV.PO, GV.PO-01, GV.PO-02]",GV.PO
nist-csf-1-1-id-gv-01--nist-csf-2-gv-po-01,"ID.GV-01: [Withdrawn: Incorporated into GV.PO, GV.PO-01, GV.PO-02]",GV.PO-01
nist-csf-1-1-id-gv-01--nist-csf-2-gv-po-02,"ID.GV-01: [Withdrawn: Incorporated into GV.PO, GV.PO-01, GV.PO-02]",GV.PO-02
nist-csf-1-1-id-gv-02--nist-csf-2-gv-oc-02,"ID.GV-02: [Withdrawn: Incorporated into GV.OC-02, GV.RR, GV.RR-02]",GV.OC-02
nist-csf-1-1-id-gv-02--nist-csf-2-gv-rr,"ID.GV-02: [Withdrawn: Incorporated into GV.OC-02, GV.RR, GV.RR-02]",GV.RR
nist-csf-1-1-id-gv-02--nist-csf-2-gv-rr-02,"ID.GV-02: [Withdrawn: Incorporated into GV.OC-02, GV.RR, GV.RR-02]",GV.RR-02
nist-csf-1-1-id-gv-03--nist-csf-2-gv-oc-03,ID.GV-03: [Withdrawn: Moved to GV.OC-03],GV.OC-03
nist-csf-1-1-id-gv-04--nist-csf-2-gv-rm-04,ID.GV-04: [Withdrawn: Moved to GV.RM-04],GV.RM-04
,,
nist-csf-1-1-id-rm-01--nist-csf-2-gv-rm-01,"ID.RM-01: [Withdrawn: Incorporated into GV.RM-01, GV.RM-06, GV.RR-03]",GV.RM-01
nist-csf-1-1-id-rm-01--nist-csf-2-gv-rm-06,"ID.RM-01: [Withdrawn: Incorporated into GV.RM-01, GV.RM-06, GV.RR-03]",GV.RM-06
nist-csf-1-1-id-rm-01--nist-csf-2-gv-rr-03,"ID.RM-01: [Withdrawn: Incorporated into GV.RM-01, GV.RM-06, GV.RR-03]",GV.RR-03
nist-csf-1-1-id-rm-02--nist-csf-2-gv-rm-02,"ID.RM-02: [Withdrawn: Incorporated into GV.RM-02, GV.RM-04]",GV.RM-02
nist-csf-1-1-id-rm-02--nist-csf-2-gv-rm-04,"ID.RM-02: [Withdrawn: Incorporated into GV.RM-02, GV.RM-04]",GV.RM-04
nist-csf-1-1-id-rm-03--nist-csf-2-gv-rm-02,ID.RM-03: [Withdrawn: Moved into GV.RM-02],GV.RM-02
,,
nist-csf-1-1-id-sc-01--nist-csf-2-gv-rm-05,"ID.SC-01: [Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]",GV.RM-05
nist-csf-1-1-id-sc-01--nist-csf-2-gv-sc-01,"ID.SC-01: [Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]",GV.SC-01
nist-csf-1-1-id-sc-01--nist-csf-2-gv-sc-06,"ID.SC-01: [Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]",GV.SC-06
nist-csf-1-1-id-sc-01--nist-csf-2-gv-sc-09,"ID.SC-01: [Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]",GV.SC-09
nist-csf-1-1-id-sc-01--nist-csf-2-gv-sc-10,"ID.SC-01: [Withdrawn: Incorporated into GV.RM-05, GV.SC-01, GV.SC-06, GV.SC-09, GV.SC-10]",GV.SC-10
nist-csf-1-1-id-sc-02--nist-csf-2-gv-oc-02,"ID.SC-02: [Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]",GV.OC-02
nist-csf-1-1-id-sc-02--nist-csf-2-gv-sc-03,"ID.SC-02: [Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]",GV.SC-03
nist-csf-1-1-id-sc-02--nist-csf-2-gv-sc-04,"ID.SC-02: [Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]",GV.SC-04
nist-csf-1-1-id-sc-02--nist-csf-2-gv-sc-07,"ID.SC-02: [Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]",GV.SC-07
nist-csf-1-1-id-sc-02--nist-csf-2-id-ra-10,"ID.SC-02: [Withdrawn: Incorporated into GV.OC-02, GV.SC-03, GV.SC-04, GV.SC-07, ID.RA-10]",ID.RA-10
nist-csf-1-1-id-sc-03--nist-csf-2-gv-sc-05,ID.SC-03: [Withdrawn: Moved to GV.SC-05],GV.SC-05
nist-csf-1-1-id-sc-04--nist-csf-2-gv-sc-07,"ID.SC-04: [Withdrawn: Incorporated into GV.SC-07, ID.RA-10]",GV.SC-07
nist-csf-1-1-id-sc-04--nist-csf-2-id-ra-10,"ID.SC-04: [Withdrawn: Incorporated into GV.SC-07, ID.RA-10]",ID.RA-10
nist-csf-1-1-id-sc-05--nist-csf-2-gv-sc-08,"ID.SC-05: [Withdrawn: Incorporated into GV.SC-08, ID.IM-02]",GV.SC-08
nist-csf-1-1-id-sc-05--nist-csf-2-id-im-02,"ID.SC-05: [Withdrawn: Incorporated into GV.SC-08, ID.IM-02]",ID.IM-02
,,
,,
,,
,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization",
,PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions,
,"PR.AA-03: Users, services, and hardware are authenticated",
,"PR.AA-04: Identity assertions are protected, conveyed, and verified",
,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",
,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk",
,,
,PR.AT-01: Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,
,PR.AT-02: Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,
nist-csf-1-1-pr-at-03--nist-csf-2-pr-at-01,"PR.AT-03: [Withdrawn: Incorporated into PR.AT-01, PR.AT-02]",PR.AT-01
nist-csf-1-1-pr-at-03--nist-csf-2-pr-at-02,"PR.AT-03: [Withdrawn: Incorporated into PR.AT-01, PR.AT-02]",PR.AT-02
nist-csf-1-1-pr-at-04--nist-csf-2-pr-at-02,PR.AT-04: [Withdrawn: Incorporated into PR.AT-02],PR.AT-02
nist-csf-1-1-pr-at-05--nist-csf-2-pr-at-02,PR.AT-05: [Withdrawn: Incorporated into PR.AT-02],PR.AT-02
,,
,"PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected",
,"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",
nist-csf-1-1-pr-ds-03--nist-csf-2-id-am-08,"PR.DS-03: [Withdrawn: Incorporated into ID.AM-08, PR.PS-03]",ID.AM-08
nist-csf-1-1-pr-ds-03--nist-csf-2-pr-ps-03,"PR.DS-03: [Withdrawn: Incorporated into ID.AM-08, PR.PS-03]",PR.PS-03
nist-csf-1-1-pr-ds-04--nist-csf-2-pr-ir-04,PR.DS-04: [Withdrawn: Moved to PR.IR-04],PR.IR-04
nist-csf-1-1-pr-ds-05--nist-csf-2-pr-ds-01,"PR.DS-05: [Withdrawn: Incorporated into PR.DS-01, PR.DS-02, PR.DS-10]",PR.DS-01
nist-csf-1-1-pr-ds-05--nist-csf-2-pr-ds-02,"PR.DS-05: [Withdrawn: Incorporated into PR.DS-01, PR.DS-02, PR.DS-10]",PR.DS-02
nist-csf-1-1-pr-ds-05--nist-csf-2-pr-ds-10,"PR.DS-05: [Withdrawn: Incorporated into PR.DS-01, PR.DS-02, PR.DS-10]",PR.DS-10
nist-csf-1-1-pr-ds-06--nist-csf-2-pr-ds-01,"PR.DS-06: [Withdrawn: Incorporated into PR.DS-01, DE.CM-09]",PR.DS-01
nist-csf-1-1-pr-ds-06--nist-csf-2-de-cm-09,"PR.DS-06: [Withdrawn: Incorporated into PR.DS-01, DE.CM-09]",DE.CM-09
nist-csf-1-1-pr-ds-07--nist-csf-2-pr-ir-01,PR.DS-07: [Withdrawn: Incorporated into PR.IR-01],PR.IR-01
nist-csf-1-1-pr-ds-08--nist-csf-2-id-ra-09,"PR.DS-08: [Withdrawn: Incorporated into ID.RA-09, DE.CM-09]",ID.RA-09
nist-csf-1-1-pr-ds-08--nist-csf-2-de-cm-09,"PR.DS-08: [Withdrawn: Incorporated into ID.RA-09, DE.CM-09]",DE.CM-09
,"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected",
,"PR.DS-11: Backups of data are created, protected, maintained, and tested",
,,
,PR.PS-01: Configuration management practices are established and applied,
,"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk",
,"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk",
,PR.PS-04: Log records are generated and made available for continuous monitoring,
,PR.PS-05: Installation and execution of unauthorized software are prevented,
,"PR.PS-06: Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",
,,
,PR.IR-01: Networks and environments are protected from unauthorized logical access and usage,
,PR.IR-02: The organization's technology assets are protected from environmental threats,
,PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,
,PR.IR-04: Adequate resource capacity to ensure availability is maintained,
,,
nist-csf-1-1-pr-ac-01--nist-csf-2-pr-aa-01,"PR.AC-01: [Withdrawn: Incorporated into PR.AA-01, PR.AA-05]",PR.AA-01
nist-csf-1-1-pr-ac-01--nist-csf-2-pr-aa-05,"PR.AC-01: [Withdrawn: Incorporated into PR.AA-01, PR.AA-05]",PR.AA-05
nist-csf-1-1-pr-ac-02--nist-csf-2-pr-aa-06,PR.AC-02: [Withdrawn: Moved to PR.AA-06],PR.AA-06
nist-csf-1-1-pr-ac-03--nist-csf-2-pr-aa-03,"PR.AC-03: [Withdrawn: Incorporated into PR.AA-03, PR.AA-05, PR.IR-01]",PR.AA-03
nist-csf-1-1-pr-ac-03--nist-csf-2-pr-aa-05,"PR.AC-03: [Withdrawn: Incorporated into PR.AA-03, PR.AA-05, PR.IR-01]",PR.AA-05
nist-csf-1-1-pr-ac-03--nist-csf-2-pr-ir-01,"PR.AC-03: [Withdrawn: Incorporated into PR.AA-03, PR.AA-05, PR.IR-01]",PR.IR-01
nist-csf-1-1-pr-ac-04--nist-csf-2-pr-aa-05,PR.AC-04: [Withdrawn: Moved to PR.AA-05],PR.AA-05
nist-csf-1-1-pr-ac-05--nist-csf-2-pr-ir-01,PR.AC-05: [Withdrawn: Incorporated into PR.IR-01],PR.IR-01
nist-csf-1-1-pr-ac-06--nist-csf-2-pr-aa-02,PR.AC-06: [Withdrawn: Moved to PR.AA-02],PR.AA-02
nist-csf-1-1-pr-ac-07--nist-csf-2-pr-aa-03,PR.AC-07: [Withdrawn: Moved to PR.AA-03],PR.AA-03
,,
nist-csf-1-1-pr-ip-01--nist-csf-2-pr-ps-01,PR.IP-01: [Withdrawn: Incorporated into PR.PS-01],PR.PS-01
nist-csf-1-1-pr-ip-02--nist-csf-2-id-am-08,"PR.IP-02: [Withdrawn: Incorporated into ID.AM-08, PR.PS-06]",ID.AM-08
nist-csf-1-1-pr-ip-02--nist-csf-2-pr-ps-06,"PR.IP-02: [Withdrawn: Incorporated into ID.AM-08, PR.PS-06]",PR.PS-06
nist-csf-1-1-pr-ip-03--nist-csf-2-pr-ps-01,"PR.IP-03: [Withdrawn: Incorporated into PR.PS-01, ID.RA-07]",PR.PS-01
nist-csf-1-1-pr-ip-03--nist-csf-2-id-ra-07,"PR.IP-03: [Withdrawn: Incorporated into PR.PS-01, ID.RA-07]",ID.RA-07
nist-csf-1-1-pr-ip-04--nist-csf-2-pr-ds-11,PR.IP-04: [Withdrawn: Moved to PR.DS-11],PR.DS-11
nist-csf-1-1-pr-ip-05--nist-csf-2-pr-ir-02,PR.IP-05: [Withdrawn: Moved to PR.IR-02],PR.IR-02
nist-csf-1-1-pr-ip-06--nist-csf-2-id-am-08,PR.IP-06: [Withdrawn: Incorporated into ID.AM-08],ID.AM-08
nist-csf-1-1-pr-ip-07--nist-csf-2-id-im,"PR.IP-07: [Withdrawn: Incorporated into ID.IM, ID.IM-03]",ID.IM
nist-csf-1-1-pr-ip-07--nist-csf-2-id-im-03,"PR.IP-07: [Withdrawn: Incorporated into ID.IM, ID.IM-03]",ID.IM-03
nist-csf-1-1-pr-ip-08--nist-csf-2-id-im-03,PR.IP-08: [Withdrawn: Moved to ID.IM-03],ID.IM-03
nist-csf-1-1-pr-ip-09--nist-csf-2-id-im-04,PR.IP-09: [Withdrawn: Moved to ID.IM-04],ID.IM-04
nist-csf-1-1-pr-ip-10--nist-csf-2-id-im-02,"PR.IP-10: [Withdrawn: Incorporated into ID.IM-02, ID.IM-04]",ID.IM-02
nist-csf-1-1-pr-ip-10--nist-csf-2-id-im-04,"PR.IP-10: [Withdrawn: Incorporated into ID.IM-02, ID.IM-04]",ID.IM-04
nist-csf-1-1-pr-ip-11--nist-csf-2-gv-rr-04,PR.IP-11: [Withdrawn: Moved to GV.RR-04],GV.RR-04
nist-csf-1-1-pr-ip-12--nist-csf-2-id-ra-01,"PR.IP-12: [Withdrawn: Incorporated into ID.RA-01, PR.PS-02]",ID.RA-01
nist-csf-1-1-pr-ip-12--nist-csf-2-pr-ps-02,"PR.IP-12: [Withdrawn: Incorporated into ID.RA-01, PR.PS-02]",PR.PS-02
,,
nist-csf-1-1-pr-ma-01--nist-csf-2-id-am-08,"PR.MA-01: [Withdrawn: Incorporated into ID.AM-08, PR.PS-03]",ID.AM-08
nist-csf-1-1-pr-ma-01--nist-csf-2-pr-ps-03,"PR.MA-01: [Withdrawn: Incorporated into ID.AM-08, PR.PS-03]",PR.PS-03
nist-csf-1-1-pr-ma-02--nist-csf-2-id-am-08,"PR.MA-02: [Withdrawn: Incorporated into ID.AM-08, PR.PS-02]",ID.AM-08
nist-csf-1-1-pr-ma-02--nist-csf-2-pr-ps-02,"PR.MA-02: [Withdrawn: Incorporated into ID.AM-08, PR.PS-02]",PR.PS-02
,,
nist-csf-1-1-pr-pt-01--nist-csf-2-pr-ps-04,PR.PT-01: [Withdrawn: Incorporated into PR.PS-04],PR.PS-04
nist-csf-1-1-pr-pt-02--nist-csf-2-pr-ds-01,"PR.PT-02: [Withdrawn: Incorporated into PR.DS-01, PR.PS-01]",PR.DS-01
nist-csf-1-1-pr-pt-02--nist-csf-2-pr-ps-01,"PR.PT-02: [Withdrawn: Incorporated into PR.DS-01, PR.PS-01]",PR.PS-01
nist-csf-1-1-pr-pt-03--nist-csf-2-pr-ps-01,PR.PT-03: [Withdrawn: Incorporated into PR.PS-01],PR.PS-01
nist-csf-1-1-pr-pt-04--nist-csf-2-pr-aa-06,"PR.PT-04: [Withdrawn: Incorporated into PR.AA-06, PR.IR-01]",PR.AA-06
nist-csf-1-1-pr-pt-04--nist-csf-2-pr-ir-01,"PR.PT-04: [Withdrawn: Incorporated into PR.AA-06, PR.IR-01]",PR.IR-01
nist-csf-1-1-pr-pt-05--nist-csf-2-pr-ir-03,PR.PT-05: [Withdrawn: Moved to PR.IR-03],PR.IR-03
,,
,,
,,
,DE.CM-01: Networks and network services are monitored to find potentially adverse events,
,DE.CM-02: The physical environment is monitored to find potentially adverse events,
,DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events,
nist-csf-1-1-de-cm-04--nist-csf-2-de-cm-01,"DE.CM-04: [Withdrawn: Incorporated into DE.CM-01, DE.CM-09]",DE.CM-01
nist-csf-1-1-de-cm-04--nist-csf-2-de-cm-09,"DE.CM-04: [Withdrawn: Incorporated into DE.CM-01, DE.CM-09]",DE.CM-09
nist-csf-1-1-de-cm-05--nist-csf-2-de-cm-01,"DE.CM-05: [Withdrawn: Incorporated into DE.CM-01, DE.CM-09]",DE.CM-01
nist-csf-1-1-de-cm-05--nist-csf-2-de-cm-09,"DE.CM-05: [Withdrawn: Incorporated into DE.CM-01, DE.CM-09]",DE.CM-09
,DE.CM-06: External service provider activities and services are monitored to find potentially adverse events,
nist-csf-1-1-de-cm-07--nist-csf-2-de-cm-01,"DE.CM-07: [Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",DE.CM-01
nist-csf-1-1-de-cm-07--nist-csf-2-de-cm-03,"DE.CM-07: [Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",DE.CM-03
nist-csf-1-1-de-cm-07--nist-csf-2-de-cm-06,"DE.CM-07: [Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",DE.CM-06
nist-csf-1-1-de-cm-07--nist-csf-2-de-cm-09,"DE.CM-07: [Withdrawn: Incorporated into DE.CM-01, DE.CM-03, DE.CM-06, DE.CM-09]",DE.CM-09
nist-csf-1-1-de-cm-08--nist-csf-2-id-ra-01,DE.CM-08: [Withdrawn: Incorporated into ID.RA-01],ID.RA-01
,"DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",
,,
nist-csf-1-1-de-ae-01--nist-csf-2-id-am-03,DE.AE-01: [Withdrawn: Incorporated into ID.AM-03],ID.AM-03
,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities,
,DE.AE-03: Information is correlated from multiple sources,
,DE.AE-04: The estimated impact and scope of adverse events are understood,
nist-csf-1-1-de-ae-05--nist-csf-2-de-ae-08,DE.AE-05: [Withdrawn: Moved to DE.AE-08],DE.AE-08
,DE.AE-06: Information on adverse events is provided to authorized staff and tools,
,DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis,
,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria,
,,
nist-csf-1-1-de-dp-01--nist-csf-2-gv-rr-02,DE.DP-01: [Withdrawn: Incorporated into GV.RR-02],GV.RR-02
nist-csf-1-1-de-dp-02--nist-csf-2-de-ae,DE.DP-02: [Withdrawn: Incorporated into DE.AE],DE.AE
nist-csf-1-1-de-dp-03--nist-csf-2-id-im-02,DE.DP-03: [Withdrawn: Incorporated into ID.IM-02],ID.IM-02
nist-csf-1-1-de-dp-04--nist-csf-2-de-ae-06,DE.DP-04: [Withdrawn: Incorporated into DE.AE-06],DE.AE-06
nist-csf-1-1-de-dp-05--nist-csf-2-id-im,"DE.DP-05: [Withdrawn: Incorporated into ID.IM, ID.IM-03]",ID.IM
nist-csf-1-1-de-dp-05--nist-csf-2-id-im-03,"DE.DP-05: [Withdrawn: Incorporated into ID.IM, ID.IM-03]",ID.IM-03
,,
,,
,,
,RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared,
,RS.MA-02: Incident reports are triaged and validated,
,RS.MA-03: Incidents are categorized and prioritized,
,RS.MA-04: Incidents are escalated or elevated as needed,
,RS.MA-05: The criteria for initiating incident recovery are applied,
,,
nist-csf-1-1-rs-an-01--nist-csf-2-rs-ma-02,RS.AN-01: [Withdrawn: Incorporated into RS.MA-02],RS.MA-02
nist-csf-1-1-rs-an-02--nist-csf-2-rs-ma-02,"RS.AN-02: [Withdrawn: Incorporated into RS.MA-02, RS.MA-03, RS.MA-04]",RS.MA-02
nist-csf-1-1-rs-an-02--nist-csf-2-rs-ma-03,"RS.AN-02: [Withdrawn: Incorporated into RS.MA-02, RS.MA-03, RS.MA-04]",RS.MA-03
nist-csf-1-1-rs-an-02--nist-csf-2-rs-ma-04,"RS.AN-02: [Withdrawn: Incorporated into RS.MA-02, RS.MA-03, RS.MA-04]",RS.MA-04
,RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,
nist-csf-1-1-rs-an-04--nist-csf-2-rs-ma-03,RS.AN-04: [Withdrawn: Moved to RS.MA-03],RS.MA-03
nist-csf-1-1-rs-an-05--nist-csf-2-id-ra-08,RS.AN-05: [Withdrawn: Moved to ID.RA-08],ID.RA-08
,"RS.AN-06: Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",
,"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved",
,RS.AN-08: An incident's magnitude is estimated and validated,
,,
nist-csf-1-1-rs-co-01--nist-csf-2-pr-at-01,RS.CO-01: [Withdrawn: Incorporated into PR.AT-01],PR.AT-01
,RS.CO-02: Internal and external stakeholders are notified of incidents,
,RS.CO-03: Information is shared with designated internal and external stakeholders,
nist-csf-1-1-rs-co-04--nist-csf-2-rs-ma-01,"RS.CO-04: [Withdrawn: Incorporated into RS.MA-01, RS.MA-04]",RS.MA-01
nist-csf-1-1-rs-co-04--nist-csf-2-rs-ma-04,"RS.CO-04: [Withdrawn: Incorporated into RS.MA-01, RS.MA-04]",RS.MA-04
nist-csf-1-1-rs-co-05--nist-csf-2-rs-co-03,RS.CO-05: [Withdrawn: Incorporated into RS.CO-03],RS.CO-03
,,
,RS.MI-01: Incidents are contained,
,RS.MI-02: Incidents are eradicated,
nist-csf-1-1-rs-mi-03--nist-csf-2-id-ra-06,RS.MI-03: [Withdrawn: Incorporated into ID.RA-06],ID.RA-06
,,
nist-csf-1-1-rs-rp-01--nist-csf-2-rs-ma-01,RS.RP-01: [Withdrawn: Incorporated into RS.MA-01],RS.MA-01
,,
nist-csf-1-1-rs-im-01--nist-csf-2-id-im-03,"RS.IM-01: [Withdrawn: Incorporated into ID.IM-03, ID.IM-04]",ID.IM-03
nist-csf-1-1-rs-im-01--nist-csf-2-id-im-04,"RS.IM-01: [Withdrawn: Incorporated into ID.IM-03, ID.IM-04]",ID.IM-04
nist-csf-1-1-rs-im-02--nist-csf-2-id-im-03,RS.IM-02: [Withdrawn: Incorporated into ID.IM-03],ID.IM-03
,,
,,
,,
,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,
,"RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed",
,RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration,
,RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,
,"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",
